Country,Proj_Area,District,Cluster,Village,Group_Name,date_registered,Groups,Trees
KE,Meru,Kirinyaga,Kanjuu,Kanjuu,"Wamucii  W  Group
Wamucii   W  Group",03/10/2008 00:00,1,477
KE,Meru,Kirinyaga,Kanjuu,Kanjuu,Kiaumbui United,12/22/2007 0:00,1,1311
KE,Mara,Kenya - Bomet,Chemaner,Kapsenendet,CHERERAN,11/05/2021 07:11,1,771
UG,Kanungu,Uganda - Kanungu,Katojo,Karangyere,Rwamaraza twetugure,11/05/2021 07:11,1,1027
UG,Kanungu,Uganda - Kanungu,Katojo,Karengyere,Rwemigadu twebiseho,11/05/2021 07:11,1,692
UG,Kanungu,Uganda - Kanungu,Katojo,Kyajobi,Kabere tree planting,11/05/2021 07:11,1,2970
UG,Kanungu,Uganda - Kanungu,Katojo,Kyajobi,Kyitengure tree project,11/05/2021 07:11,1,1286
UG,Kanungu,Uganda - Kanungu,Kinaba,Kyamukombe,Bushoro tree planting,11/05/2021 07:11,1,781
KE,Meru,South Imenti,Kanyakine,Gaturumbari,Mutethua Tree Planters,8/30/2022 22:26,1,266
KE,Meru,South Imenti,Kanyakine,Muutiokiama,Trees for life CBO,1/28/2022 7:19,1,642
KE,Trans-Nzoia,Kenya - Transnzoia,Eastern saiwa,Michai tumaini,Hifadhi,11/05/2021 07:11,1,96
UG,Kayunga,Uganda - Kayunga,Nabuganyi,NAMATOGONYA,NAMATOGONYA TPG,11/05/2021 07:11,1,69
UG,Kayunga,Uganda - Kayunga,Nabuganyi,NEKOYEDDE,NEKOYEDDE AFAAYO  A,11/05/2021 07:11,1,92
UG,Kanungu,Uganda - Kanungu,Katojo,Nyabizuru,Garama abaryakamwe group,11/05/2021 07:11,1,785
UG,Kanungu,Uganda - Kanungu,Katojo,Nyabizuru,Nyabizuru turimbamwe,11/05/2021 07:11,1,1070
UG,Kanungu,Uganda - Kanungu,Katojo,Nyamirengyere,Rutoma youth group,11/05/2021 07:11,1,234
UG,Kanungu,Uganda - Kanungu,Katojo,Nyamirengyere,Rwenrwe tree planting,11/05/2021 07:11,1,2912
UG,Kanungu,Uganda - Kanungu,Katojo,Nyamrengyere,Kakumbagare group,11/05/2021 07:11,1,1121
UG,Kanungu,Uganda - Kanungu,Katojo,Rugadu,Rugadu B turibamwr,11/05/2021 07:11,1,3785
UG,Soroti,Soroti,Odungura,Morubany,Slow but sure Group,11/04/2021 13:47,1,225
UG,Kanungu,Uganda - Kanungu,Kayonza Mpungu,Murushasha,Rushasha tpg,11/04/2021 07:41,1,185
UG,Kiryandongo,Uganda - Kiryandongo,Kyankende,KISWEKA,BEDU Beer B group,11/03/2021 13:55,1,394
KE,Meru,South Imenti,Kanyakine,Igokine,Kajiumia,9/19/2021 11:05,1,404
UG,Soroti,Soroti,Odungura,Morubanya,Good Tomorrow,11/03/2021 13:55,1,627
UG,Amuru,Uganda - Amuru,Pogo,Acema,Tic Cing Ber farmers,11/03/2021 03:53,1,230
KE,Nanyuki,Kenya - Nyeri North,Magomano,Kamukombi-ini,Kamukombi -ini-L,11/03/2021 03:53,1,188
UG,Kiryandongo,Uganda - Kiryandongo,Kyankende,KApole,KAPOLE b group,11/03/2021 03:53,1,1839
UG,Gulu,Uganda - Gulu,Gwenydia,Lalaro,Lacan  Kwite,11/03/2021 03:53,1,747
UG,Soroti,Soroti,Odungura,Morubany,Akwenyutu Group,11/03/2021 03:53,1,49
UG,Soroti,Soroti,Odungura,Ojara,Everyday life group,11/03/2021 03:53,1,1170
UG,Kabale,Uganda - Kabale,Shanjare,Rwarubaya,RWARUBAYA ABARYAKAMWE,11/03/2021 03:53,1,251
UG,Bushenyi,Bushenyi,Kyaruganda,Rwetuma,Rwetuma TG,11/03/2021 03:53,1,1592
UG,Gulu,Uganda - Gulu,Paicho,Corner ward,Mak Tic B,11/02/2021 04:41,1,449
KE,Meru,South Imenti,Kanyakine,Igokine,MAITETHIA,9/19/2021 11:05,1,205
KE,Meru,South Imenti,Kanyakine,Igokine,Mugae Shg,9/19/2021 11:05,1,62
KE,Meru,South Imenti,Kanyakine,Igokine,MWENDANTU,9/19/2021 11:05,1,328
KE,Meru,South Imenti,Kanyakine,Kamiguru,Kanini Kamiguru,9/19/2021 11:05,1,418
KE,Mara,Kenya - Narok South,Kutete,Kuto,MABERAEK B,11/02/2021 04:41,1,552
KE,Meru,South Imenti,Kanyakine,Kanyakine,Mikurwene,7/23/2021 5:53,1,723
KE,Meru,South Imenti,Kanyakine,Muraene,Muraene Growers,07/04/2021 18:10,1,629
KE,Meru,South Imenti,Kanyakine,Nkurune,Kirigara,5/31/2021 4:14,1,704
KE,Meru,South Imenti,Kanyakine,Nkurune,Mutuja Nkurune,5/31/2021 4:14,1,405
UG,Kanungu,Uganda - Kanungu,Kinaba,Runyami,Nyakiminika T.P,11/02/2021 04:41,1,1391
KE,Trans-Nzoia,Kenya - Transnzoia,Kapsara,Visiwani,Upendo visiwani group,11/02/2021 04:41,1,278
KE,Meru,South Imenti,Kanyakine,Gaturumbari,Kanyaga,4/27/2021 8:14,1,389
KE,Meru,South Imenti,Kanyakine,Kamiguru,KAMIGURU,4/27/2021 8:14,1,559
KE,Meru,South Imenti,Kanyakine,Kathithine,Kathithine group,4/27/2021 8:14,1,1151
KE,Meru,South Imenti,Kanyakine,Kirima,Kananjiru,4/27/2021 8:14,1,919
KE,Meru,South Imenti,Kanyakine,Nyombayathi,Horizon,4/27/2021 8:14,1,507
KE,Meru,South Imenti,Kanyakine,Mbuti,Blessed Mbuti,11/12/2019 06:00,1,211
KE,Meru,South Imenti,Kanyakine,Nkirithia,Kiarwara,11/12/2019 06:00,1,161
KE,Meru,South Imenti,Kanyakine,Nkurune,Miune,11/12/2019 06:00,1,943
KE,Meru,South Imenti,Kanyakine,Kiurone,Kethangu,10/04/2019 12:00,1,107
UG,Hoima,Uganda - Hoima,Buraru,Kyajawe,Atugonza Group,11/01/2021 10:47,1,487
UG,Hoima,Uganda - Hoima,Buraru,Kyakamese,Mwesigwa D group,11/01/2021 10:47,1,799
KE,Meru,South Imenti,Kanyakine,Kiurone,Kiurone,10/04/2019 12:00,1,653
KE,Meru,South Imenti,Kanyakine,Gaturumbari,Gaturumbari,9/30/2019 6:00,1,408
KE,Meru,South Imenti,Kanyakine,Gaturumbari,Karuri,09/04/2019 00:00,1,315
KE,Meru,South Imenti,Kanyakine,Nkurune,Gatune,09/04/2019 00:00,1,1167
UG,Kayunga,Uganda - Kayunga,Nakivumbo  B,Namavundo A,Munakukaama,11/01/2021 07:23,1,106
UG,Kayunga,Uganda - Kayunga,Nakivumbo  B,Namavundu,TWEKEMBE GROUP A,11/01/2021 07:23,1,481
UG,Kayunga,Uganda - Kayunga,Nakivumbo  B,NYONDO,Jesus Cares,11/01/2021 07:23,1,153
UG,Kayunga,Uganda - Kayunga,Nakivumbo  B,Nyondo B,Bataka Kuyambagana,11/01/2021 07:23,1,396
KE,Nyamira,Kenya - Nyamira South,Riakimai,Omwaro,NYAKORANDA GRP,11/01/2021 07:23,1,551
KE,Trans-Nzoia,Kenya - Transnzoia,Kesogon,Bishop muge,KAISAGAT,11/01/2021 04:38,1,169
KE,Nanyuki,Kenya - Nyeri North,Magomano,Gataka - ini,Kamukombi -ini- K,11/01/2021 04:38,1,206
KE,Meru,South Imenti,Kanyakine,Nkurune,Msaidizi,07/11/2019 13:30,1,291
KE,Nanyuki,Kenya - Nyeri North,Magomano,Kamukombi-ini,Kamukombi-ini-M,11/01/2021 04:38,1,185
KE,Nanyuki,Kenya - Laikipia West,Muthengera,Karanga,Rural,11/01/2021 04:38,1,162
KE,Meru,South Imenti,Kanyakine,Nyombayathi,Kirangine,07/11/2019 13:30,1,1221
KE,Meru,South Imenti,Kanyakine,Kanyakine,KWETU,3/14/2019 18:00,1,168
KE,Meru,South Imenti,Kanyakine,Nyombayathi,Kirogo  s h g,11/28/2015 0:00,1,2177
KE,Meru,South Imenti,Kanyakine,Nkurune,Kathima,10/30/2014 0:00,1,812
KE,Meru,South Imenti,Kanyakine,Kiamirigi,Kiamirigi  Group,10/14/2014 0:00,1,1352
KE,Meru,South Imenti,Kanyakine,"Nyomba 
Nyombayathi",Nyombayathi  Ntharime,10/14/2014 0:00,1,1191
KE,Meru,South Imenti,Kanyakine,Igokine,Kanini  kega,5/13/2014 18:00,1,746
KE,Meru,South Imenti,Kanyakine,Kirimene,Inuka  kirimene,5/13/2014 18:00,1,818
UG,Amuru,Uganda - Amuru,Palwong,"Lajago ""A""",Lubanga ber tree planting otwee,11/01/2021 04:38,1,518
UG,Kanungu,Uganda - Kanungu,Muraamba,Mashenya,Mashenya Tukwatanise Association,11/01/2021 04:38,1,2230
KE,Nanyuki,Kenya - Laikipia West,Mwenje,Milimani,Milimani,11/01/2021 04:38,1,635
KE,Nanyuki,Kenya - Laikipia West,Muthengera,Muthengera,Kerima,11/01/2021 04:38,1,55
UG,Kyenjojo,Uganda - Kyenjojo,Kigoyera,NSWIGA,Nswiga Barigye Group,11/01/2021 04:38,1,1010
UG,Kyenjojo,Uganda - Kyenjojo,Kigoyera,NSWIGA,Nswiga Katukole Group,11/01/2021 04:38,1,989
UG,Kyenjojo,Uganda - Kyenjojo,Kigoyera,NSWIGA,Nswiga Tukorrehamu group.,11/01/2021 04:38,1,237
KE,Nyamira,Kenya - Nyamira South,Riakimai,Omwaro,Jerusalem,11/01/2021 04:38,1,770
KE,Nyamira,Kenya - Nyamira South,Riakimai,Omwaro,KINGDOM GRP,11/01/2021 04:38,1,1295
KE,Nanyuki,Kenya - Nyandarua,Finley,SilA,Mwiruti F,11/01/2021 04:38,1,4514
UG,Soroti,Soroti,Katakwi,Alukucok,Alukucok Development Association,10/28/2021 3:49,1,109
UG,Lira,Uganda - Lira,Alwala,Alyec A,Oribcing,10/28/2021 3:49,1,72
UG,Lira,Uganda - Lira,Alwala,Atongi moco,Atoo Atoa Ikweri,10/28/2021 3:49,1,1150
UG,Gulu,Uganda - Gulu,Gwenydia,Bung,Oduka Heritage TP,10/28/2021 3:49,1,7909
KE,Muranga,Unknown,Ndaka-ini,Kahuruko,KAHURUKO,10/28/2021 3:49,1,207
KE,Muranga,Unknown,Ndaka-ini,Munyu,Munyu A,10/28/2021 3:49,1,428
UG,Kayunga,Uganda - Kayunga,Baliwamu,MUTUKULA,MUTUKULA FARMERS ASSOCIATION,10/28/2021 3:49,1,89
UG,Kayunga,Uganda - Kayunga,Kanywero,Tindian,Tindian Kamukamu group,10/27/2021 3:48,1,434
UG,Kanungu,Uganda - Kanungu,Katebire,Busiiba,Busiiba Tree planting group,10/27/2021 3:48,1,1002
UG,Kayunga,Uganda - Kayunga,Kanywero,KISEETA  B,FEE BANI  FAMERS,10/27/2021 3:48,1,0
UG,Amuru,Uganda - Amuru,Palwong,Pakuma,Pur Ber Farmers group,10/27/2021 3:48,1,622
UG,Amuru,Uganda - Amuru,Palwong,Pakuma,Tii ki cingi me Ryemo can group,10/27/2021 3:48,1,521
