Country,Proj_Area,District,Cluster,Village,Group_Name,date_registered,Groups,Trees,Date,Year_Enroled
KE,Nanyuki,Kenya - Manga,chomo,CHOMO,33240,11/22/2022 22:30,1,49,2022-11-22 22:30:00 UTC,2022
KE,Nanyuki,Kenya - Manga,chomo,GATEI,31635,11/22/2022 22:30,1,466,2022-11-22 22:30:00 UTC,2022
KE,Nanyuki,Kenya - Manga,Chania,GATHANGARI,27664,11/22/2022 22:30,1,71,2022-11-22 22:30:00 UTC,2022
KE,Nanyuki,Kenya - Manga,chomo,KAIRIMA,27026,11/22/2022 22:30,1,86,2022-11-22 22:30:00 UTC,2022
KE,Nanyuki,Kenya - Manga,chomo,KAIRIMA,33668,11/22/2022 22:30,1,70,2022-11-22 22:30:00 UTC,2022
KE,Meru,Igembe,Antubalinki,Kirimene,26457,10/04/2022 22:29,1,468,2022-10-04 22:29:00 UTC,2022
KE,Nanyuki,Kenya - Manga,chomo,KIANG'OMBE,25077,11/22/2022 22:30,1,88,2022-11-22 22:30:00 UTC,2022
KE,Meru,Igembe,Antubalinki,Nthaarene,25626,07/04/2022 07:21,1,310,2022-07-04 07:21:00 UTC,2022
UG,Kanungu,Uganda - Kanungu,Kirima,Nyakabungo,12744,11/22/2022 22:30,1,1250,2022-11-22 22:30:00 UTC,2022
UG,Kanungu,Uganda - Kanungu,Kirima,Nyakabungo,18235,11/22/2022 22:30,1,549,2022-11-22 22:30:00 UTC,2022
UG,Kanungu,Uganda - Kanungu,Ishaya,Nyamirengyerr,12333,11/22/2022 22:30,1,1131,2022-11-22 22:30:00 UTC,2022
UG,Kanungu,Uganda - Kanungu,Mafuga,Western ward,12906,11/22/2022 22:30,1,1197,2022-11-22 22:30:00 UTC,2022
UG,Lira,Uganda - Lira,Anyapo,Agweng,14666,11/21/2022 22:30,1,2155,2022-11-21 22:30:00 UTC,2022
UG,Lira,Uganda - Lira,Agoro,AKWEN,29742,11/21/2022 22:30,1,775,2022-11-21 22:30:00 UTC,2022
UG,Lira,Uganda - Lira,Agoro,AKWEN,33435,11/21/2022 22:30,1,770,2022-11-21 22:30:00 UTC,2022
UG,Lira,Uganda - Lira,Agoro,ANYOMO ORANGA,13845,11/21/2022 22:30,1,727,2022-11-21 22:30:00 UTC,2022
KE,Nanyuki,Kenya - Manga,chomo,GATEI,37575,11/21/2022 22:30,1,48,2022-11-21 22:30:00 UTC,2022
KE,Nanyuki,Kenya - Manga,chomo,GATEI,36534,11/21/2022 22:30,1,94,2022-11-21 22:30:00 UTC,2022
KE,Meru,Igembe,Antubalinki,Maumbune,24708,8/24/2021 4:42,1,1305,2021-08-24 04:42:00 UTC,2021
UG,Hoima,Uganda - Hoima,Kitoba,Kiburwa West,16049,11/21/2022 22:30,1,318,2022-11-21 22:30:00 UTC,2022
UG,Hoima,Uganda - Hoima,Kitoba,Kihamya,21338,11/21/2022 22:30,1,1542,2022-11-21 22:30:00 UTC,2022
UG,Hoima,Uganda - Hoima,Kitoba,Kyabasengya,27152,11/21/2022 22:30,1,278,2022-11-21 22:30:00 UTC,2022
UG,Hoima,Uganda - Hoima,Kitoba,Kyabasengya,33193,11/21/2022 22:30,1,356,2022-11-21 22:30:00 UTC,2022
UG,Hoima,Uganda - Hoima,Kitoba,Kyabasengya West LCI,34322,11/21/2022 22:30,1,77,2022-11-21 22:30:00 UTC,2022
UG,Rukungiri,Rukungiri,Bugangari,KYABURERE,24423,11/21/2022 22:30,1,1583,2022-11-21 22:30:00 UTC,2022
UG,Hoima,Uganda - Hoima,Buraru,Kyakamese,16750,11/21/2022 22:30,1,1184,2022-11-21 22:30:00 UTC,2022
UG,Hoima,Uganda - Hoima,Buraru,Kyakamese,17701,11/21/2022 22:30,1,1436,2022-11-21 22:30:00 UTC,2022
UG,Hoima,Uganda - Hoima,Buraru,Kyakamese,22974,11/21/2022 22:30,1,778,2022-11-21 22:30:00 UTC,2022
UG,Hoima,Uganda - Hoima,Kitoba,Kyataruga,35457,11/21/2022 22:30,1,1180,2022-11-21 22:30:00 UTC,2022
KE,Machakos,Kenya - Mbeere South,Itunduimuni,Mathauta,32943,11/21/2022 22:30,1,128,2022-11-21 22:30:00 UTC,2022
KE,Nanyuki,Kenya - Laikipia West,Nganoini,Nganoini,38113,11/21/2022 22:30,1,0,2022-11-21 22:30:00 UTC,2022
UG,Omoro,Uganda - Omoro,Bobi,Omokokitunge,14991,11/21/2022 22:30,1,971,2022-11-21 22:30:00 UTC,2022
UG,Gulu,Uganda - Gulu,Punena,Ayac,20937,11/20/2022 22:30,1,1279,2022-11-20 22:30:00 UTC,2022
KE,Nanyuki,Kenya - Nyeri North,Ndurutu,Gachika,26645,11/20/2022 22:30,1,23,2022-11-20 22:30:00 UTC,2022
KE,Nanyuki,Kenya - Nyeri North,Kimahuri,Gitubururu,21211,11/20/2022 22:30,1,558,2022-11-20 22:30:00 UTC,2022
UG,Gulu,Uganda - Gulu,Punena,Kal A 1,32413,11/20/2022 22:30,1,1760,2022-11-20 22:30:00 UTC,2022
UG,Gulu,Uganda - Gulu,Punena,Kal A 1,22757,11/20/2022 22:30,1,913,2022-11-20 22:30:00 UTC,2022
UG,Gulu,Uganda - Gulu,Punena,Kal A 1,31180,11/20/2022 22:30,1,756,2022-11-20 22:30:00 UTC,2022
UG,Gulu,Uganda - Gulu,Punena,KAL A1,18155,11/20/2022 22:30,1,86,2022-11-20 22:30:00 UTC,2022
UG,Gulu,Uganda - Gulu,Punena,KAL A1,12597,11/20/2022 22:30,1,1500,2022-11-20 22:30:00 UTC,2022
UG,Gulu,Uganda - Gulu,Punena,KAL A1,13537,11/20/2022 22:30,1,4014,2022-11-20 22:30:00 UTC,2022
UG,Gulu,Uganda - Gulu,Punena,KAL A1,31369,11/20/2022 22:30,1,780,2022-11-20 22:30:00 UTC,2022
UG,Gulu,Uganda - Gulu,Punena,KAL A1,13511,11/20/2022 22:30,1,1160,2022-11-20 22:30:00 UTC,2022
UG,Gulu,Uganda - Gulu,Punena,KAL A1,36108,11/20/2022 22:30,1,597,2022-11-20 22:30:00 UTC,2022
UG,Gulu,Uganda - Gulu,Punena,Kalang,11492,11/20/2022 22:30,1,432,2022-11-20 22:30:00 UTC,2022
KE,Nanyuki,Kenya - Nyeri North,Ndurutu,Kanuna,14195,11/20/2022 22:30,1,21,2022-11-20 22:30:00 UTC,2022
KE,Meru,Igembe,Antubalinki,Rwiga,17134,8/23/2021 5:30,1,1469,2021-08-23 05:30:00 UTC,2021
KE,Meru,Igembe,Antubalinki,Rwiga,26140,08/08/2021 06:53,1,1265,2021-08-08 06:53:00 UTC,2021
KE,Nanyuki,Kenya - Nyeri North,Ndurutu,Kiricho/gachika,17132,11/20/2022 22:30,1,100,2022-11-20 22:30:00 UTC,2022
KE,Nanyuki,Kenya - Nyeri North,Ndurutu,Kirichu,31069,11/20/2022 22:30,1,43,2022-11-20 22:30:00 UTC,2022
